Slot;Value;Numerator;Denominator;Fraction
TOTAL;28,1878858024691;73063;2592;73063/2592
ONE;0,833333333333333;5;6;5/6
TWO;1,66666666666667;5;3;5/3
THREE;2,5;5;2;5/2
FOUR;3,33333333333333;10;3;10/3
FIVE;4,16666666666667;25;6;25/6
SIX;5;5;1;5/1
NUMBERS_SUM;17,5038580246914;22685;1296;22685/1296
MAX;17,5;35;2;35/2
MIN;17,5;35;2;35/2
SUMS_DIFFERENCE;0;0;1;0/1
TWO_PAIRS;6,48148148148148;175;27;175/27
STRAIGHT;1,23456790123457;100;81;100/81
FULL_HOUSE;1,83256172839506;2375;1296;2375/1296
CARRIAGE;1,08333333333333;13;12;13/12
YAMB;0,052083333333333;5;96;5/96
COLLECTIONS_SUM;10,6840277777778;3077;288;3077/288
